1, Test Method 'TestPackage.TestLoginUserWithValidData.Verify_that_home_page_is_visible_successfully' failed. Please investigate and open a new Issue if needed.
2, Test Method 'TestPackage.TestLoginUserWithValidData.Verify_that_LoginToYourAccount_is_visible_successfully' failed. Please investigate and open a new Issue if needed.
3, Test Method 'TestPackage.TestLoginUserWithValidData.Verify_that_loggedIn_is_visible_successfully' failed. Please investigate and open a new Issue if needed.
